group,fips_code,clinton_votes,sanders_votes,clinton_margin,clinton_percent
Arkansas,05057,786,164,622,0.6547368421052632
Arkansas,05059,1562,730,832,0.36300174520069806
Arkansas,05061,535,129,406,0.6114457831325302
Arkansas,05063,1059,521,538,0.34050632911392403
Arkansas,05065,516,239,277,0.36688741721854307
Arkansas,05067,702,225,477,0.5145631067961165
Arkansas,05069,9936,2115,7821,0.648991784914115
Arkansas,05071,1056,580,476,0.29095354523227385
Arkansas,05073,443,160,283,0.4693200663349917
Arkansas,05075,933,726,207,0.12477396021699819
Arkansas,05077,956,84,872,0.8384615384615385
Arkansas,05079,599,152,447,0.5952063914780293
Arkansas,05081,721,441,280,0.24096385542168675
Arkansas,05083,881,361,520,0.41867954911433175
Arkansas,05085,1664,817,847,0.34139459895203544
Arkansas,05087,1085,1078,7,0.003236245954692557
Arkansas,05089,421,314,107,0.145578231292517
Arkansas,05091,1300,356,944,0.5700483091787439
Arkansas,05093,2017,342,1675,0.7100466299279355
Arkansas,05095,843,411,432,0.3444976076555024
Arkansas,05097,316,142,174,0.3799126637554585
Arkansas,05099,647,306,341,0.3578174186778594
Arkansas,05101,192,211,-19,-0.04714640198511166
Arkansas,05103,2095,525,1570,0.5992366412213741
Arkansas,05105,648,428,220,0.20446096654275092
Arkansas,05107,2696,656,2040,0.6085918854415274
Arkansas,05109,367,171,196,0.3643122676579926
Arkansas,05111,717,228,489,0.5174603174603175
Arkansas,05113,349,272,77,0.12399355877616747
Arkansas,05115,1680,1169,511,0.17936117936117937
Arkansas,05117,558,385,173,0.18345705196182396
Arkansas,05119,34862,10461,24401,0.5383800719281601
Arkansas,05121,662,356,306,0.3005893909626719
Arkansas,05123,1912,354,1558,0.6875551632833187
Arkansas,05125,4358,2008,2350,0.36914860194784793
Arkansas,05127,306,151,155,0.33916849015317285
Arkansas,05129,221,164,57,0.14805194805194805
Arkansas,05131,3694,2226,1468,0.24797297297297297
Arkansas,05133,342,167,175,0.343811394891945
Arkansas,05135,608,294,314,0.34811529933481156
Arkansas,05137,547,421,126,0.13016528925619836
Arkansas,05139,2548,1669,879,0.20844202039364476
Arkansas,05141,770,436,334,0.2769485903814262
Arkansas,05143,9110,8507,603,0.034228302208094454
Arkansas,05145,2024,818,1206,0.4243490499648135
Arkansas,05147,862,292,570,0.49393414211438474
Arkansas,05149,723,432,291,0.2519480519480519
California,06001,107102,91324,15778,0.0795157892614879
California,06003,110,129,-19,-0.0794979079497908
California,06005,1949,1753,196,0.05294435440302539
California,06007,9681,14271,-4590,-0.19163326653306614
California,06009,2630,2392,238,0.04739147749900438
California,06011,653,584,69,0.05578011317704123
California,06013,69809,46909,22900,0.1961993865556298
California,06015,1015,1323,-308,-0.1317365269461078
California,06017,10367,9497,870,0.043797825211437776
California,06019,32895,21672,11223,0.20567375886524822
California,06021,649,644,5,0.0038669760247486465
California,06023,6036,13245,-7209,-0.3738913956744982
California,06025,5743,2731,3012,0.35544016993155536
California,06027,756,957,-201,-0.11733800350262696
California,06029,19104,13475,5629,0.17278001166395532
California,06031,3921,2548,1373,0.21224300510125213
California,06033,2408,2704,-296,-0.057902973395931145
California,06035,690,770,-80,-0.0547945205479452
California,06037,590502,434656,155846,0.15202144449928695
California,06039,4831,3626,1205,0.14248551495802295
California,06041,27238,19848,7390,0.1569468631865098
California,06043,963,1050,-87,-0.043219076005961254
California,06045,2690,4654,-1964,-0.26742919389978215
California,06047,7169,5190,1979,0.16012622380451494
California,06049,240,280,-40,-0.07692307692307693
California,06051,755,917,-162,-0.09688995215311005
California,06053,17126,12894,4232,0.14097268487674883
California,06055,7370,4781,2589,0.2130688832194881
California,06057,5591,8472,-2881,-0.2048638270639266
California,06059,123723,100836,22887,0.10191976273496052
California,06061,17299,12787,4512,0.14997008575417137
California,06063,1209,1476,-267,-0.09944134078212291
California,06065,73724,47988,25736,0.21144998028131984
California,06067,68248,50567,17681,0.14881117703993604
California,06069,2022,1439,583,0.16844842531060386
California,06071,71246,51770,19476,0.15832086883007088
California,06073,139813,111898,27915,0.11090099359980295
California,06075,85070,67191,17879,0.11742337171041829
California,06077,25118,16329,8789,0.2120539484160494
California,06079,16833,16147,686,0.02080048514251061
California,06081,47358,30003,17355,0.22433784465040524
California,06083,23543,22976,567,0.012188568111954255
California,06085,109963,70468,39495,0.21889254063880376
California,06087,20105,25171,-5066,-0.11189150985069353
California,06089,5875,6140,-265,-0.022055763628797336
California,06091,213,275,-62,-0.12704918032786885
California,06093,1585,2301,-716,-0.184251158003088
California,06095,31753,23630,8123,0.14666955563981726
California,06097,44923,42715,2208,0.025194550309226592
California,06099,15309,12086,3223,0.11764920605949991
California,06101,2370,1894,476,0.11163227016885553
California,06103,1487,1544,-57,-0.018805674694820192
California,06105,585,953,-368,-0.23927178153446033
California,06107,8375,5755,2620,0.1854210898796886
California,06109,2851,2623,228,0.04165144318597004
California,06111,45848,38523,7325,0.08681893067523201
California,06113,12567,11532,1035,0.042947840159342714
California,06115,1572,1730,-158,-0.04784978800726832
Colorado,08001,2060,3279,-1219,-0.2283199100955235
Colorado,08003,90,167,-77,-0.29961089494163423
Colorado,08005,5320,6086,-766,-0.06715763633175521
Colorado,08007,83,156,-73,-0.3054393305439331
Colorado,08009,15,14,1,0.034482758620689655
Colorado,08011,26,24,2,0.04
Colorado,08013,6354,11142,-4788,-0.2736625514403292
Colorado,08014,563,1010,-447,-0.28417037507946596
Colorado,08015,210,404,-194,-0.31596091205211724
Colorado,08017,5,4,1,0.1111111111111111
Colorado,08019,159,199,-40,-0.11173184357541899
Colorado,08021,73,50,23,0.18699186991869918
Colorado,08023,64,23,41,0.47126436781609193
Colorado,08025,15,16,-1,-0.03225806451612903
Colorado,08027,34,45,-11,-0.13924050632911392
Colorado,08029,177,417,-240,-0.40404040404040403
Colorado,08031,12097,14624,-2527,-0.09456981400396691
Colorado,08033,8,22,-14,-0.4666666666666667
Colorado,08035,2342,2347,-5,-0.0010663254425250586
Colorado,08037,344,623,-279,-0.28852119958634953
Colorado,08039,89,144,-55,-0.23605150214592274
Colorado,08041,3109,4954,-1845,-0.22882301872752078
Colorado,08043,193,268,-75,-0.16268980477223427
